source_name,destination_name,type
AUDv,ORBl,unk
VISl,AUDd,unk
ECT,RSPd,unk
TEa,VISp,unk
ACAd,VISl,unk
VISam,GU,unk
GU,VISC,unk
ECT,AUDd,unk
ACAd,ACAv,unk
ORBvl,VISp,unk
MOs,VISl,unk
AUDv,ECT,unk
SSs,SSp-ll,unk
ORBl,ORBvl,unk
VISam,ILA,unk
VISal,ACAd,unk
AUDd,AUDd,unk
SSs,VISC,unk
SSs,SSp-ul,unk
ORBvl,VISam,unk
VISp,TEa,unk
PERI,ILA,unk
ILA,VISpl,unk
ORBvl,MOp,unk
ECT,ACAv,unk
VISal,AUDp,unk
SSp-ul,AId,unk
VISp,SSp-tr,unk
SSp-bfd,PTLp,unk
VISpl,VISl,unk
AId,GU,unk
VISpm,VISam,unk
PTLp,RSPv,unk
AUDd,SSp-bfd,unk
SSs,MOp,unk
AUDd,VISam,unk
ORBm,AId,unk
VISl,AUDv,unk
MOp,SSp-n,unk
SSp-ul,SSp-ul,unk
RSPd,MOs,unk
TEa,PERI,unk
SSp-ll,ACAd,unk
ORBvl,ECT,unk
MOs,ORBvl,unk
VISp,ORBvl,unk
ECT,PTLp,unk
MOp,VISam,unk
SSs,AIv,unk
PERI,MOs,unk
RSPagl,RSPagl,unk
ACAv,MOp,unk
AId,AId,unk
AUDv,MOp,unk
RSPv,VISam,unk
ORBl,SSp-bfd,unk
PTLp,AUDp,unk
AIp,RSPagl,unk
AUDv,TEa,unk
SSp-ul,SSp-m,unk
SSp-tr,TEa,unk
SSp-m,MOp,unk
SSp-n,AIp,unk
VISl,SSp-ll,unk
TEa,ECT,unk
SSp-m,SSp-m,unk
MOs,AIv,unk
VISam,ACAd,unk
VISam,RSPagl,unk
VISal,FRP,unk
ORBvl,VISpm,unk
MOp,AUDv,unk
ORBvl,RSPd,unk
VISam,VISl,unk
ORBvl,VISpl,unk
VISp,ORBm,unk
RSPv,VISpl,unk
SSp-tr,VISl,unk
GU,ECT,unk
SSs,ORBl,unk
ECT,AUDp,unk
SSs,FRP,unk
RSPv,PL,unk
SSp-bfd,AUDp,unk
ACAd,AIv,unk
RSPd,MOp,unk
AIp,ILA,unk
ACAd,RSPagl,unk
ORBm,FRP,unk
RSPd,VISl,unk
SSp-m,PERI,unk
MOs,PTLp,unk
VISal,AUDd,unk
AId,AUDv,unk
TEa,MOp,unk
VISam,ECT,unk
GU,RSPv,unk
AUDd,MOs,unk
PERI,ORBm,unk
FRP,MOs,unk
SSp-tr,ECT,unk
RSPv,SSp-tr,unk
PTLp,PTLp,unk
ACAd,PL,unk
VISam,VISC,unk
SSp-tr,SSp-ll,unk
AIp,ORBm,unk
AIv,AIv,unk
VISal,PTLp,unk
MOs,VISp,unk
SSp-bfd,PERI,unk
AId,AIp,unk
ACAd,AUDd,unk
PL,AIp,unk
SSp-ll,SSp-ul,unk
ACAd,ILA,unk
ECT,ORBm,unk
SSp-ll,SSp-ll,unk
VISam,RSPv,unk
MOs,SSp-tr,unk
RSPv,PTLp,unk
PERI,AIp,unk
GU,GU,unk
MOs,ORBl,unk
AUDv,AUDd,unk
GU,AIp,unk
GU,SSs,unk
