name,major_region
MOB,Olfactory Areas
PIR,Olfactory Areas
MOp,Isocortex
SSp-bfd,Isocortex
MOs,Isocortex
VISp,Isocortex
SSs,Isocortex
SSp-ul,Isocortex
SSp-tr,Isocortex
RSPv,Isocortex
AON,Olfactory Areas
TEa,Isocortex
PTLp,Isocortex
ECT,Isocortex
SSp-ll,Isocortex
SSp-un,Isocortex
SSp-m,Isocortex
ACAd,Isocortex
RSPd,Isocortex
AUDp,Isocortex
AUDd,Isocortex
AUDv,Isocortex
ACAv,Isocortex
AId,Isocortex
GU,Isocortex
VISal,Isocortex
COAp,Olfactory Areas
ORBl,Isocortex
VISam,Isocortex
VISC,Isocortex
PL,Isocortex
ILA,Isocortex
TT,Olfactory Areas
ORBvl,Isocortex
PERI,Isocortex
SSp-n,Isocortex
AIp,Isocortex
VISpm,Isocortex
AIv,Isocortex
TR,Olfactory Areas
ORBm,Isocortex
RSPagl,Isocortex
VISl,Isocortex
VISpl,Isocortex
PAA,Olfactory Areas
AOB,Olfactory Areas
COAa,Olfactory Areas
FRP,Isocortex
NLOT,Olfactory Areas
DP,Olfactory Areas
AUDpo,Isocortex
CP,Striatum
ACB,Striatum
OT,Striatum
LSr,Striatum
MEA,Striatum
CEA,Striatum
LSc,Striatum
AAA,Striatum
FS,Striatum
SF,Striatum
IA,Striatum
LSv,Striatum
SH,Striatum
BA,Striatum
RT,Thalamus
VPM,Thalamus
VAL,Thalamus
MD,Thalamus
PO,Thalamus
LD,Thalamus
VPL,Thalamus
LP,Thalamus
RE,Thalamus
VM,Thalamus
PVT,Thalamus
LGd,Thalamus
PF,Thalamus
MGv,Thalamus
LGv,Thalamus
CM,Thalamus
AV,Thalamus
AMd,Thalamus
LH,Thalamus
CL,Thalamus
SPFp,Thalamus
MH,Thalamus
RH,Thalamus
IMD,Thalamus
MGd,Thalamus
SMT,Thalamus
PCN,Thalamus
MGm,Thalamus
VPMpc,Thalamus
POL,Thalamus
AD,Thalamus
PT,Thalamus
PP,Thalamus
SGN,Thalamus
AMv,Thalamus
IGL,Thalamus
IAD,Thalamus
SPFm,Thalamus
SPA,Thalamus
VPLpc,Thalamus
IAM,Thalamus
SubG,Thalamus
PR,Thalamus
HPF,Hippocampal Formation
CTXsp,CTXsp
PAL,Pallidum
HY,Hypothalamus
MB,Midbrain
P,Pons
MY,Medulla
CB,Cerebellar Cortex/Neuclei
